"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_141",1.22413479468877,134,70.5,153,0.05,FALSE,FALSE,FALSE,FALSE,0.406897058823529,96,213,139
"emb_215",1.22384615074343,130,70.5,19.5,0.05,FALSE,FALSE,FALSE,FALSE,0.394371323529412,94,182,161
"emb_104",1.21982026380517,83,72.5,108,0.1,FALSE,FALSE,FALSE,FALSE,0.237202205882353,193,204,34
"emb_106",1.21804196095436,70,72.5,112,0.1,FALSE,FALSE,FALSE,FALSE,0.181121323529412,141,128,70
"emb_087",1.21524609864968,53,74,85,0.05,FALSE,FALSE,FALSE,FALSE,0.111823529411765,24,49,155
"emb_068",1.2174424627145,67,75,144,0.1,FALSE,FALSE,FALSE,FALSE,0.164338235294118,126,19,65
"emb_043",1.24079799083689,254,77,115.5,0,FALSE,FALSE,FALSE,FALSE,0.951558823529412,90,199,173
"emb_151",1.22965497551961,181,77,43,0.05,FALSE,FALSE,FALSE,FALSE,0.651080882352941,149,201,59
"emb_192",1.22079431358992,93,77,162,0.05,FALSE,FALSE,FALSE,FALSE,0.271977941176471,21,39,228
"emb_041",1.22400344684096,133,79.5,170.5,0.05,FALSE,FALSE,FALSE,FALSE,0.401058823529412,204,248,271
"emb_240",1.20816890939068,13,79.5,16.5,0.15,FALSE,FALSE,TRUE,FALSE,0.0237904411764706,171,71,38
"emb_148",1.21365650264428,41,81,75,0.15,FALSE,FALSE,FALSE,FALSE,0.0824742647058824,188,266,247
"emb_014",1.21645760479193,63,82,121,0.05,FALSE,FALSE,FALSE,FALSE,0.138996323529412,50,52,134
"emb_137",1.22004966271305,87,83,87,0.05,FALSE,FALSE,FALSE,FALSE,0.244900735294118,25,50,52
"emb_046",1.22795138886729,164,84.5,36,0.05,FALSE,FALSE,FALSE,FALSE,0.577382352941176,42,33,23
