"covariate","score","rank_base","rank_agg_med","freq_top20","below_fam05","below_mrg05","below_mrg01"
"pc_0323",1.19837011598995,343,709.5,0.05,FALSE,FALSE,FALSE
"pc_0751",1.19837418971235,344,467,0,FALSE,FALSE,FALSE
"pc_0632",1.1983859165883,345,221,0,FALSE,FALSE,FALSE
"pc_0738",1.19838673367285,346,414,0,FALSE,FALSE,FALSE
"pc_0499",1.19843193180985,347,111.5,0.05,FALSE,FALSE,FALSE
"pc_0979",1.19843464811045,348,309,0.05,FALSE,FALSE,FALSE
"pc_0619",1.19846638828199,349,361,0.05,FALSE,FALSE,FALSE
"pc_0318",1.19853387446911,350,252,0,FALSE,FALSE,FALSE
"pc_0660",1.19856660222348,351,317.5,0.1,FALSE,FALSE,FALSE
"pc_0050",1.19860525267313,352,343.5,0.05,FALSE,FALSE,FALSE
"pc_0628",1.19863419911752,353,321.5,0,FALSE,FALSE,FALSE
"pc_0939",1.19863923300842,354,470.5,0,FALSE,FALSE,FALSE
"pc_0885",1.19864115822221,355,99.5,0,FALSE,FALSE,FALSE
"pc_0014",1.1986514603473,356,292.5,0,FALSE,FALSE,FALSE
"pc_0045",1.19865987442754,357,303,0,FALSE,FALSE,FALSE
"pc_0255",1.19867394793454,358,97.5,0,FALSE,FALSE,FALSE
"pc_0455",1.1986789394987,359,324,0,FALSE,FALSE,FALSE
"pc_0018",1.19868419383344,360,325.5,0.15,FALSE,FALSE,FALSE
"pc_0026",1.19868438198768,361,136.5,0.05,FALSE,FALSE,FALSE
"pc_0812",1.1987176653922,362,388.5,0,FALSE,FALSE,FALSE
"pc_0544",1.19873929364042,363,835.5,0,FALSE,FALSE,FALSE
"pc_0184",1.19874582944906,364,650.5,0,FALSE,FALSE,FALSE
