"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_213",1.22733920451412,114,41,51.5,0.05,FALSE,FALSE,FALSE,FALSE,0.348938356164384,228,243,105
"emb_090",1.21961645021358,48,43,97,0.1,FALSE,FALSE,FALSE,FALSE,0.112544520547945,195,275,168
"emb_007",1.21537727359305,24,45,29.5,0.1,FALSE,FALSE,TRUE,FALSE,0.0488732876712329,57,89,93
"emb_180",1.22088245154685,52,45,83.5,0.15,FALSE,FALSE,FALSE,FALSE,0.140434931506849,102,124,63
"emb_181",1.22203154435093,59,45,72,0.05,FALSE,FALSE,FALSE,FALSE,0.169212328767123,231,165,29
"emb_066",1.21955102893615,46,47.5,85.5,0.05,FALSE,FALSE,FALSE,FALSE,0.111232876712329,180,158,124
"emb_130",1.22438251315856,85,47.5,77,0.15,FALSE,FALSE,FALSE,FALSE,0.239982876712329,211,170,162
"scale_12",1.2219732125826,58,49,46.5,0.15,FALSE,FALSE,FALSE,FALSE,0.167729452054795,6,12,11
"emb_228",1.22418330503727,83,50,21.5,0,FALSE,FALSE,FALSE,FALSE,0.233424657534247,277,219,82
"scale_09",1.24367080947619,280,51,21.5,0.1,FALSE,FALSE,FALSE,FALSE,0.922171232876712,11,14,10
"emb_102",1.22179596063641,57,52,97,0.05,FALSE,FALSE,FALSE,FALSE,0.16313698630137,152,131,40
"emb_008",1.23449079763822,203,53,9,0.05,FALSE,FALSE,FALSE,FALSE,0.651554794520548,33,36,20
"emb_094",1.22495771400598,90,54,13.5,0.1,FALSE,FALSE,FALSE,FALSE,0.259571917808219,153,78,36
"emb_100",1.23249532673914,167,55.5,102,0.1,FALSE,FALSE,FALSE,FALSE,0.568116438356164,227,239,181
"emb_237",1.22539286951548,97,55.5,92,0.05,FALSE,FALSE,FALSE,FALSE,0.275037671232877,62,80,84
"emb_029",1.21206606481342,11,57,29.5,0.1,FALSE,FALSE,TRUE,FALSE,0.0231780821917808,43,55,154
"emb_166",1.2192709642106,42,58,58,0.05,FALSE,FALSE,FALSE,FALSE,0.105787671232877,218,186,107
"emb_062",1.21161762510164,10,60,38.5,0,FALSE,FALSE,TRUE,FALSE,0.0207808219178082,181,171,57
"emb_112",1.21972234677763,49,60,107,0.15,FALSE,FALSE,FALSE,FALSE,0.114780821917808,69,63,88
"emb_116",1.22892153472555,128,60,105.5,0.15,FALSE,FALSE,FALSE,FALSE,0.413380136986301,185,206,170
"emb_009",1.21480790845969,23,62,38.5,0.05,FALSE,FALSE,TRUE,FALSE,0.0433527397260274,101,82,22
"emb_210",1.22321593567354,74,63,122.5,0.15,FALSE,FALSE,FALSE,FALSE,0.203058219178082,279,125,205
"emb_212",1.21586191116,26,64,61.5,0.05,FALSE,FALSE,FALSE,FALSE,0.0542739726027397,223,195,220
"rate_space",1.23551689063718,223,65.5,88.5,0.05,FALSE,FALSE,FALSE,FALSE,0.69288698630137,31,45,25
"emb_046",1.22353565564029,76,65.5,83.5,0.1,FALSE,FALSE,FALSE,FALSE,0.212715753424658,52,112,204
"emb_203",1.22603224368791,102,67,80.5,0.05,FALSE,FALSE,FALSE,FALSE,0.298188356164384,170,135,202
"emb_126",1.22770492836926,115,68,67,0,FALSE,FALSE,FALSE,FALSE,0.363667808219178,191,123,120
"emb_200",1.22386042127384,78,69,113,0.15,FALSE,FALSE,FALSE,FALSE,0.223027397260274,284,83,96
"emb_114",1.23341957829669,182,70,9,0.15,FALSE,FALSE,FALSE,FALSE,0.607267123287671,47,49,50
"emb_010",1.2254900006263,99,71.5,51.5,0.05,FALSE,FALSE,FALSE,FALSE,0.278561643835616,35,32,78
"scale_00",1.22418118254081,82,71.5,99.5,0.15,FALSE,FALSE,FALSE,FALSE,0.233342465753425,16,17,14
"emb_035",1.2190103284439,39,73,77,0.05,FALSE,FALSE,FALSE,FALSE,0.100784246575342,40,35,116
"emb_220",1.23101010439616,150,74,61.5,0.1,FALSE,FALSE,FALSE,FALSE,0.503921232876712,194,85,47
"emb_068",1.2239093344197,79,75.5,146,0.05,FALSE,FALSE,FALSE,FALSE,0.22461301369863,252,255,75
"emb_199",1.22866027882724,126,75.5,61.5,0.05,FALSE,FALSE,FALSE,FALSE,0.40261301369863,271,199,280
"emb_169",1.2265645798925,106,77,33.5,0,FALSE,FALSE,FALSE,FALSE,0.318109589041096,282,237,241
"emb_049",1.2280134316327,117,78.5,129,0.1,FALSE,FALSE,FALSE,FALSE,0.376133561643836,150,90,207
"emb_089",1.22732371436228,113,78.5,80.5,0.05,FALSE,FALSE,FALSE,FALSE,0.348376712328767,68,94,222
"emb_048",1.22500007081716,92,80,69.5,0.05,FALSE,FALSE,FALSE,FALSE,0.261078767123288,160,133,54
"emb_016",1.22524627245263,96,82.5,155,0,FALSE,FALSE,FALSE,FALSE,0.269808219178082,98,87,188
"emb_074",1.21473488859372,22,82.5,54.5,0.05,FALSE,FALSE,TRUE,FALSE,0.0426780821917808,77,101,87
