doc_id,M_128,M_256,M_512,M_1024
<urn:uuid:3858ff5c-1107-41ed-b0e4-838c13d687d5>,12.81732177734375,12.81732177734375,16.806833267211914,16.806833267211914
<urn:uuid:a58a1aea-e7f3-418a-a1c3-31b3518fe4b9>,11.367022514343262,12.433341979980469,13.462776184082031,16.58782958984375
<urn:uuid:b1a961fd-97da-4749-837b-5ba0b377c4ff>,11.634501457214355,11.745217323303223,11.745217323303223,12.179479598999023
<urn:uuid:71f79d31-c921-466d-8df7-2da76c451721>,12.645390510559082,12.645390510559082,13.013435363769531,17.264081954956055
<urn:uuid:1791c995-734d-445c-bbff-96ad0c5736a5>,10.530196189880371,13.864846229553223,13.864846229553223,13.864846229553223
<urn:uuid:df6800fb-59ed-4018-a83d-a6bd6c650ba5>,12.418952941894531,12.885553359985352,15.879518508911133,15.879518508911133
<urn:uuid:c799b160-b607-4340-860b-73920e9438f9>,12.652334213256836,12.652334213256836,12.652334213256836,12.794628143310547
<urn:uuid:d32f3bad-b056-4a63-8e17-9420fa16af9e>,10.153276443481445,10.153276443481445,10.326173782348633,11.867443084716797
<urn:uuid:169fcc28-f7da-43d4-b0c9-422daa57abad>,12.058168411254883,12.058168411254883,16.809558868408203,16.809558868408203
<urn:uuid:b496ded6-b621-440e-ac30-693e8efbb1a4>,13.294569969177246,13.294569969177246,13.457502365112305,15.998564720153809
<urn:uuid:16b1066f-2857-4776-89d4-bd80a313fef3>,11.886390686035156,11.886390686035156,19.41801643371582,19.41801643371582
<urn:uuid:b5a92b04-3a2b-43f1-8c76-bdc97ebb3c80>,9.836650848388672,10.510454177856445,10.510454177856445,11.908349990844727
<urn:uuid:25623391-e7a1-46b4-a96c-33fb0b5dd262>,9.312032699584961,11.853763580322266,13.073885917663574,15.08527660369873
<urn:uuid:6aaf1235-5199-4cb4-8217-0567ef51fee8>,12.447349548339844,12.447349548339844,13.098931312561035,15.915860176086426
<urn:uuid:8caf1dcb-327f-4c99-aa5f-cad3cbca4147>,13.335453987121582,13.335453987121582,13.335453987121582,13.335453987121582
<urn:uuid:dc42408b-e4d2-400a-a197-af9b028e6d9f>,16.34640121459961,16.34640121459961,16.429122924804688,16.429122924804688
<urn:uuid:3e1603b9-4bf9-4f1c-8aa0-801d4cb867b7>,10.396317481994629,11.667783737182617,11.667783737182617,11.667783737182617
<urn:uuid:e41fb165-15e7-4a90-9f82-d4c5529bec14>,11.469109535217285,11.469109535217285,11.58689022064209,14.665580749511719
<urn:uuid:ce886a3b-9eae-4f98-afb6-205c4a2138d4>,8.088750839233398,10.177984237670898,11.956445693969727,12.29897689819336
<urn:uuid:1db728f1-8ac6-4a4d-93c5-2b9e140fef9a>,16.239248275756836,16.239248275756836,16.239248275756836,16.239248275756836
<urn:uuid:0eceef93-365b-4712-b707-f8916d2a613c>,12.243114471435547,13.421449661254883,16.312461853027344,16.790002822875977
<urn:uuid:2a67190b-0c6e-422c-8a72-7070b6098241>,11.914825439453125,18.12690544128418,18.12690544128418,18.12690544128418
<urn:uuid:ebb5df9e-3317-4533-8251-86f0d620a550>,10.854533195495605,10.854533195495605,17.06740951538086,17.06740951538086
<urn:uuid:07f6f246-005f-4bd7-915b-96e0031e6476>,13.641595840454102,13.641595840454102,13.641595840454102,13.641595840454102
<urn:uuid:535f753d-5906-42fc-94f7-d43cff66af92>,14.24194622039795,14.24194622039795,16.246240615844727,16.246240615844727
<urn:uuid:1153a758-1c9d-4ccc-810b-3001f2046fdd>,13.171956062316895,13.171956062316895,13.171956062316895,16.815689086914062
<urn:uuid:cfae1649-05c1-4091-a0f8-d343e8427fcb>,13.38662338256836,13.38662338256836,13.38662338256836,13.816618919372559
<urn:uuid:f63e3d91-bfaa-43dd-80e4-96d7a5d93e58>,15.944252967834473,15.944252967834473,15.944252967834473,15.944252967834473
<urn:uuid:3eb8a37f-5f30-40cb-8a53-68a051ffabfc>,11.446744918823242,11.446744918823242,11.446744918823242,11.911425590515137
<urn:uuid:9c0a6196-86af-4ceb-8882-89bb6ed36e05>,12.325794219970703,12.325794219970703,14.745075225830078,14.745075225830078
<urn:uuid:5df4c1de-ea90-4fef-adda-dd144e3d2e72>,6.903744220733643,8.566081047058105,8.644491195678711,10.814322471618652
<urn:uuid:a85acfdb-5f04-4410-92ef-876f7ad5e9b8>,13.166450500488281,15.559979438781738,15.559979438781738,15.559979438781738
<urn:uuid:d27a28d7-1945-4790-a5af-5d6422521ab9>,11.401338577270508,11.646509170532227,13.239697456359863,14.690648078918457
<urn:uuid:2cdb1d90-413b-4e53-89ae-3e876ce46d50>,11.30664348602295,12.4890775680542,12.4890775680542,14.391432762145996
<urn:uuid:7194ed09-f352-441f-a74f-e55b2da35301>,12.467202186584473,13.413740158081055,13.931730270385742,13.931730270385742
<urn:uuid:2d8f665a-3454-47c2-8a64-592ee843691d>,12.539849281311035,12.745718955993652,13.323724746704102,13.323724746704102
<urn:uuid:191c8034-363c-42cd-98d2-8453bb1a0379>,17.214475631713867,17.214475631713867,17.214475631713867,17.214475631713867
<urn:uuid:6e1679b5-cf31-4440-8fb7-70fdc327cf1f>,13.428150177001953,13.428150177001953,16.46688461303711,16.46688461303711
<urn:uuid:200b6231-4ead-4351-b16d-ed832345d214>,11.125391006469727,12.087170600891113,12.087170600891113,14.603160858154297
<urn:uuid:89b76c10-8366-4786-a6f0-5cd3965c39a0>,11.458650588989258,11.458650588989258,11.77641773223877,12.737104415893555
<urn:uuid:31047d46-bbc9-4656-a0c1-202ecc84083c>,13.193477630615234,14.131706237792969,14.131706237792969,14.131706237792969
