doc_id,stored,fp32,fp64,ecart
<urn:uuid:8b806659-a337-4065-934c-941b70f15dbf>,18.31784439086914,18.31784439086914,18.31756189494969,-0.0002824959194498433
<urn:uuid:169fcc28-f7da-43d4-b0c9-422daa57abad>,16.809558868408203,16.809558868408203,16.809657459241684,9.859083348118247e-05
<urn:uuid:54b312c7-174f-482c-9cec-ffd4eeb5b0b8>,17.946781158447266,17.946781158447266,17.94676214961241,-1.9008834854616907e-05
<urn:uuid:16b1066f-2857-4776-89d4-bd80a313fef3>,19.41801643371582,19.41801643371582,19.41803030399297,1.3870277150829224e-05
<urn:uuid:86966ddf-a838-4039-b937-1942fea8b877>,20.434844970703125,20.434844970703125,20.434849891189053,4.9204859280393975e-06
<urn:uuid:2a67190b-0c6e-422c-8a72-7070b6098241>,18.12690544128418,18.12690544128418,18.126941789526704,3.63482425242978e-05
<urn:uuid:ee8a8158-6b48-4164-adb6-0ba49ae761e5>,17.039960861206055,17.039960861206055,17.03951617568429,-0.00044468552176368803
<urn:uuid:ebb5df9e-3317-4533-8251-86f0d620a550>,17.06740951538086,17.06740951538086,17.067195232981774,-0.0002142823990851639
<urn:uuid:191c8034-363c-42cd-98d2-8453bb1a0379>,17.214475631713867,17.214475631713867,17.214632443224083,0.00015681151021595952
<urn:uuid:6285ca09-b8d6-403c-ac39-b290b420fb27>,18.21131706237793,18.21131706237793,18.21174007718275,0.0004230148048200988
<urn:uuid:a7752c2a-c5a1-4a47-8d8a-09c074c19806>,17.71549415588379,17.71549415588379,17.715308912453064,-0.00018524343072456873
<urn:uuid:cf15d9e9-d6e9-4323-878f-fb3c20a6c5c4>,17.197092056274414,17.197092056274414,17.197204946753605,0.00011289047919049722
<urn:uuid:8ff42676-5df2-4577-b0bf-9cf3982ac9ad>,16.492088317871094,16.492088317871094,16.492046442593992,-4.1875277101866004e-05
<urn:uuid:8bd7aec7-2bbf-4d66-8dc5-ef1f5af4e695>,17.070236206054688,17.070236206054688,17.070437651765232,0.00020144571054458993
<urn:uuid:85280042-9263-4fb0-b61b-9f5444ad7574>,17.338253021240234,17.338253021240234,17.338383226043135,0.00013020480290037995
<urn:uuid:18f4c707-2785-4f0a-8a44-2ac2e12b43f5>,20.70880889892578,20.70880889892578,20.708926844648634,0.00011794572285239724
<urn:uuid:2ca8996c-2dd6-4796-b5f8-6aac8e086b34>,16.725894927978516,16.725894927978516,16.725748822183167,-0.00014610579534846124
<urn:uuid:3f03f611-c9b4-4d24-b1ca-81214372001f>,18.101282119750977,18.101282119750977,18.101387596150474,0.00010547639949720633
<urn:uuid:26fd0ce8-f309-4379-a05e-760d6b4a8094>,17.357988357543945,17.357988357543945,17.35804639017029,5.80326263452946e-05
<urn:uuid:a1b871c3-f32b-4021-8516-312c0bfb22f0>,18.21544647216797,18.21544647216797,18.215566689816995,0.00012021764902669929
<urn:uuid:511efcaa-f18c-4b55-bed2-fd3607ee1024>,19.522520065307617,19.522520065307617,19.52259568245494,7.561714732418068e-05
<urn:uuid:2e9fa5b3-f8c5-4a8d-86a1-374519bc86fe>,17.37612533569336,17.37612533569336,17.376222922608978,9.758691561856381e-05
<urn:uuid:4d2ebd6a-47b3-41f6-9e24-91f58305210e>,17.434925079345703,17.434925079345703,17.434762348442852,-0.00016273090285068292
<urn:uuid:9ddcbd8e-2893-40da-89aa-d84216da3d36>,18.432315826416016,18.432315826416016,18.43233775570292,2.1929286905475465e-05
<urn:uuid:74f71cc7-c067-40fa-a723-987a89a0ff7f>,16.563495635986328,16.563495635986328,16.56352288184709,2.7245860760416463e-05
<urn:uuid:907179c9-546d-4fe3-94fe-c8f0a15b16d4>,18.26631736755371,18.26631736755371,18.265951263118907,-0.00036610443480356025
