"n","rep","a","alpha","two_nah","agg_worst","sel_worst","agg_hits","sel_hits","comp_worst"
2000,7,0.25,0.149534878122122,95.6352499790037,3,3,2,2,3
2000,7,0.3,0.102256518256357,65.3983057881835,3,3,2,2,3
2000,7,0.35,0.0699261313295298,44.7213595499958,3,3,2,2,3
2000,7,0.4,0.0478176249895018,30.5818319893139,3,3,2,2,3
2000,8,0.15,0.319775731187276,204.513036512715,3,3,2,2,3
2000,8,0.2,0.218672414788656,139.85226265906,3,18,2,1,3
2000,8,0.25,0.149534878122122,95.6352499790037,4,3,2,2,3
2000,8,0.3,0.102256518256357,65.3983057881835,5,76,2,1,3
2000,8,0.35,0.0699261313295298,44.7213595499958,5,17,2,1,3
2000,8,0.4,0.0478176249895018,30.5818319893139,3,3,2,2,3
2000,9,0.15,0.319775731187276,204.513036512715,6,182,2,1,2
2000,9,0.2,0.218672414788656,139.85226265906,3,3,2,2,2
2000,9,0.25,0.149534878122122,95.6352499790037,3,3,2,2,2
2000,9,0.3,0.102256518256357,65.3983057881835,3,4,2,2,2
2000,9,0.35,0.0699261313295298,44.7213595499958,3,36,2,1,2
2000,9,0.4,0.0478176249895018,30.5818319893139,4,3,2,2,2
2000,10,0.15,0.319775731187276,204.513036512715,5,3,2,2,3
2000,10,0.2,0.218672414788656,139.85226265906,5,6,2,2,3
2000,10,0.25,0.149534878122122,95.6352499790037,4,27,2,1,3
2000,10,0.3,0.102256518256357,65.3983057881835,5,3,2,2,3
2000,10,0.35,0.0699261313295298,44.7213595499958,4,27,2,1,3
2000,10,0.4,0.0478176249895018,30.5818319893139,68,220,1,1,3
2000,11,0.15,0.319775731187276,204.513036512715,6,85,2,1,7
2000,11,0.2,0.218672414788656,139.85226265906,6,3,2,2,7
2000,11,0.25,0.149534878122122,95.6352499790037,8,86,2,1,7
2000,11,0.3,0.102256518256357,65.3983057881835,18,66,1,1,7
2000,11,0.35,0.0699261313295298,44.7213595499958,11,5,1,2,7
2000,11,0.4,0.0478176249895018,30.5818319893139,7,10,2,2,7
2000,12,0.15,0.319775731187276,204.513036512715,16,6,1,2,5
2000,12,0.2,0.218672414788656,139.85226265906,19,64,1,1,5
2000,12,0.25,0.149534878122122,95.6352499790037,62,69,1,1,5
2000,12,0.3,0.102256518256357,65.3983057881835,25,86,1,1,5
2000,12,0.35,0.0699261313295298,44.7213595499958,4,11,2,1,5
2000,12,0.4,0.0478176249895018,30.5818319893139,4,4,2,2,5
2000,13,0.15,0.319775731187276,204.513036512715,165,147,1,1,10
2000,13,0.2,0.218672414788656,139.85226265906,12,106,1,1,10
2000,13,0.25,0.149534878122122,95.6352499790037,8,5,2,2,10
